datasheet_id|keyword|model|is_faction_keyword|Unnamed: 4
1|Orks||True|
1|Grenades||False|
1|Warboss||False|
1|Character||False|
1|Infantry||False|
2|Orks||True|
2|Warboss in Mega Armour||False|
2|Warboss||False|
2|Character||False|
2|Mega Armour||False|
2|Infantry||False|
3|Orks||True|
3|Character||False|
3|Speed Freeks||False|
3|Warboss||False|
3|Mounted||False|
3|Grenades||False|
4|Orks||True|
4|Psyker||False|
4|Weirdboy||False|
4|Character||False|
4|Infantry||False|
6|Orks||True|
6|Mega Armour||False|
6|Mek||False|
6|Big Mek in Mega Armour||False|
6|Character||False|
6|Infantry||False|
7|Orks||True|
7|Grenades||False|
7|Big Mek on Warbike||False|
7|Speed Freeks||False|
7|Big Mek||False|
7|Character||False|
7|Mounted||False|
8|Orks||True|
8|Warboss|GHAZGHKULL THRAKA|False|
8|Ghazghkull Thraka|GHAZGHKULL THRAKA|False|
8|Epic Hero|ALL MODELS|False|
8|Character|ALL MODELS|False|
8|Infantry|ALL MODELS|False|
9|Orks||True|
9|Character||False|
9|Kaptin Badrukk||False|
9|Epic Hero||False|
9|Infantry||False|
10|Orks||True|
10|Epic Hero||False|
10|Boss Zagstruk||False|
10|Fly||False|
10|Jump Pack||False|
10|Infantry||False|
10|Character||False|
11|Orks||True|
11|Infantry||False|
11|Character||False|
11|Grenades||False|
11|Smoke||False|
11|Epic Hero||False|
11|Boss Snikrot||False|
12|Orks||True|
12|Infantry||False|
12|Character||False|
12|Mek||False|
13|Orks||True|
13|Infantry||False|
13|Character||False|
13|Painboy||False|
14|Orks||True|
14|Character||False|
14|Painboy on Warbike||False|
14|Mounted||False|
14|Speed Freeks||False|
15|Orks||True|
15|Mad Dok Grotsnik||False|
15|Painboy||False|
15|Epic Hero||False|
15|Character||False|
15|Infantry||False|
16|Orks||True|
16|Boyz||False|
16|Mob||False|
16|Battleline||False|
16|Infantry||False|
16|Grenades||False|
17|Orks||True|
17|Gretchin||False|
17|Grots||False|
17|Infantry||False|
19|Orks||True|
19|Burna Boyz||False|
19|Infantry||False|
20|Orks||True|
20|Infantry||False|
20|Grenades||False|
20|Tankbustas||False|
21|Orks||True|
21|Grenades||False|
21|Infantry||False|
21|Nobz||False|
22|Orks||True|
22|Infantry||False|
22|Character||False|
22|Nob with Waaagh! Banner||False|
23|Orks||True|
23|Nobz on Warbikes||False|
23|Speed Freeks||False|
23|Grenades||False|
23|Mounted||False|
24|Orks||True|
24|Grenades||False|
24|Mega Armour||False|
24|Infantry||False|
24|Meganobz||False|
25|Orks||True|
25|Infantry||False|
25|Grenades||False|
25|Smoke||False|
25|Kommandos||False|
26|Orks||True|
26|Dedicated Transport||False|
26|Trukk||False|
26|Vehicle||False|
26|Transport||False|
27|Orks||True|
27|Infantry||False|
27|Jump Pack||False|
27|Grenades||False|
27|Fly||False|
27|Stormboyz||False|
28|Orks||True|
28|Grenades||False|
28|Deffkoptas||False|
28|Speed Freeks||False|
28|Fly||False|
28|Vehicle||False|
29|Orks||True|
29|Vehicle||False|
29|Fly||False|
29|Speed Freeks||False|
29|Dakkajet||False|
29|Aircraft||False|
30|Orks||True|
30|Burna-bommer||False|
30|Speed Freeks||False|
30|Vehicle||False|
30|Aircraft||False|
30|Fly||False|
31|Orks||True|
31|Speed Freeks||False|
31|Fly||False|
31|Vehicle||False|
31|Aircraft||False|
31|Blitza-bommer||False|
32|Orks||True|
32|Speed Freeks||False|
32|Vehicle||False|
32|Fly||False|
32|Wazbom Blastajet||False|
32|Grenades||False|
32|Aircraft||False|
33|Orks||True|
33|Grenades||False|
33|Mounted||False|
33|Warbikers||False|
33|Speed Freeks||False|
34|Orks||True|
34|Speed Freeks||False|
34|Mounted||False|
34|Wartrakks||False|
35|Orks||True|
35|Skorchas||False|
35|Speed Freeks||False|
35|Mounted||False|
36|Orks||True|
36|Warbuggies||False|
36|Mounted||False|
36|Speed Freeks||False|
37|Orks||True|
37|Grots||False|
37|Big Gunz||False|
37|Artillery||False|
37|Vehicle||False|
38|Orks||True|
38|Mek Gunz||False|
38|Grots||False|
38|Vehicle||False|
39|Orks||True|
39|Transport||False|
39|Vehicle||False|
39|Battlewagon||False|
40|Orks||True|
40|Walker||False|
40|Vehicle||False|
40|Deff Dread||False|
41|Orks||True|
41|Walker||False|
41|Grots||False|
41|Killa Kans||False|
41|Vehicle||False|
42|Orks||True|
42|Vehicle||False|
42|Titanic||False|
42|Towering||False|
42|Transport||False|
42|Morkanaut||False|
42|Walker||False|
43|Orks||True|
43|Gorkanaut||False|
43|Transport||False|
43|Vehicle||False|
43|Titanic||False|
43|Towering||False|
43|Walker||False|
44|Orks||True|
44|Lootas||False|
44|Infantry||False|
45|Orks||True|
45|Flash Gitz||False|
45|Infantry||False|
45|Grenades||False|
46|Orks||True|
46|Vehicle||False|
46|Titanic||False|
46|Towering||False|
46|Walker||False|
46|Stompa||False|
46|Transport||False|
49|Orks||True|
49|Grot Tanks||False|
49|Grots||False|
49|Vehicle||False|
50|Orks||True|
50|Grot Mega-tank||False|
50|Grots||False|
50|Vehicle||False|
51|Orks||True|
51|Monster||False|
51|Transport||False|
51|Squiggoth||False|
52|Orks||True|
52|Meka-Dread||False|
52|Walker||False|
52|Vehicle||False|
53|Orks||True|
53|Lifta Wagon||False|
53|Vehicle||False|
54|Orks||True|
54|Transport||False|
54|Vehicle||False|
54|Big Trakk||False|
55|Orks||True|
55|Vehicle||False|
55|Kannonwagon||False|
55|Transport||False|
56|Orks||True|
56|Transport||False|
56|Kill Tank||False|
56|Titanic||False|
56|Vehicle||False|
